k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.62204,0.5228215767613161,0.9999999999920635,126,115,0,15,0.0252685546875,0.021810165975103733,0.0034583887123962667
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.62204,0.547999999997808,0.992753623181212,137,113,1,5,0.0283203125,0.027975,0.00034531250000000013
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.62204,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.62204,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.62204,0.7614678899012709,0.8299999999916999,83,26,17,130,0.039282226562499994,0.007912844036697248,0.03136938252580275
1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.62204,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.7603027,0.999999999978261,0.2658959537556885,46,0,127,83,0.0196044921875,0.0,0.0196044921875
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.7603027,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.7603027,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.0032738095238095243,0.025046502976190474
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.7603027,0.9999999999090909,0.049999999999772726,11,0,209,36,0.0095703125,0.0,0.0095703125
