k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.7091818,0.6757812499973602,0.9999999999942197,173,83,0,0,0.019604492187500003,0.019604492187500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7091818,0.4971428571400164,0.6304347826041273,87,88,51,30,0.0283203125,0.037,-0.008679687499999998
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.7091818,0.5206611570226419,0.9999999999920635,126,116,0,14,0.0252685546875,0.021823347107438017,0.0034452075800619833
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.7091818,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.7091818,0.8645833333243272,0.8299999999916999,83,13,17,143,0.039282226562499994,0.004557291666666667,0.03472493489583333
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.7104309,0.8645418326658784,0.9863636363591529,217,34,3,2,0.0095703125,0.009063745019920319,0.000506567480079682
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.7104309,0.8230088495502388,0.7099236641167181,93,20,38,105,0.023046875,0.006913716814159292,0.01613315818584071
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.7104309,0.8321167883150941,0.6589595375684454,114,23,59,60,0.019604492187500003,0.009854014598540147,0.009750477588959855
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.7104309,0.7981651376073563,0.6304347826041273,87,22,51,96,0.0283203125,0.00521788990825688,0.02310242259174312
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.7104309,0.9999999999615384,0.21848739495614716,26,0,93,137,0.03945312499999999,0.0009615384615384616,0.038491586538461534
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.7104309,0.8139534883657834,0.749999999994643,105,24,35,92,0.026928710937500003,0.009350775193798452,0.01757793574370155
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.7104309,0.9999999999756098,0.4099999999959,41,0,59,156,0.039282226562499994,0.0003048780487804878,0.038977348513719506
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.6915433,0.9942528735575044,0.786363636360062,173,1,47,35,0.0095703125,0.00014367816091954023,0.009426634339080461
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.6915433,0.9999999999836067,0.4656488549582775,61,0,70,125,0.023046875,0.0,0.023046875
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.6915433,0.9999999999891304,0.531791907511377,92,0,81,83,0.019604492187500003,0.0,0.019604492187500003
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.6915433,0.0,0.0,0,0,138,118,0.0283203125,,
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.6915433,0.0,0.0,0,0,119,137,0.03945312499999999,,
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.6915433,0.9999999999375,0.12698412698311917,16,0,110,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.6915433,0.0,0.0,0,0,100,156,0.039282226562499994,,
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.7946757,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.7946757,0.9999999999870129,0.5877862595374979,77,0,54,125,0.023046875,0.00040584415584415587,0.022641030844155845
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.7946757,0.9999999999886363,0.5086705202282736,88,0,85,83,0.019604492187500003,0.0,0.019604492187500003
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.7946757,0.9827586206727111,0.4130434782578765,57,1,81,117,0.0283203125,0.003125,0.0251953125
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.7946757,0.9729729729598247,0.6050420168016383,72,2,47,135,0.03945312499999999,0.0016047297297297298,0.037848395270270264
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.7946757,0.9999999999750001,0.3174603174577979,40,0,86,130,0.0252685546875,0.00015625,0.0251123046875
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.7946757,0.9999999999736843,0.2714285714266327,38,0,102,116,0.026928710937500003,0.0,0.026928710937500003
