challenge,deltas
00000000,"0.138794,0.138794,0.138794,0.138794,0.138794,0.138794,0.138794,0.138794,0.138794,0.138794"
00000001,"0.839150,0.839150,0.839150,0.839150,0.839150,0.839150,0.839150,0.839150,0.839150,0.839150"
00000010,"12.852717,12.852717,12.852717,12.852717,12.852717,12.852717,12.852717,12.852717,12.852717,12.852717"
00000011,"13.553072,13.553072,13.553072,13.553072,13.553072,13.553072,13.553072,13.553072,13.553072,13.553072"
00000100,"-4.588319,-4.588319,-4.588319,-4.588319,-4.588319,-4.588319,-4.588319,-4.588319,-4.588319,-4.588319"
00000101,"-3.887963,-3.887963,-3.887963,-3.887963,-3.887963,-3.887963,-3.887963,-3.887963,-3.887963,-3.887963"
00000110,"8.125604,8.125604,8.125604,8.125604,8.125604,8.125604,8.125604,8.125604,8.125604,8.125604"
00000111,"8.825959,8.825959,8.825959,8.825959,8.825959,8.825959,8.825959,8.825959,8.825959,8.825959"
00001000,"5.308307,5.308307,5.308307,5.308307,5.308307,5.308307,5.308307,5.308307,5.308307,5.308307"
00001001,"6.008663,6.008663,6.008663,6.008663,6.008663,6.008663,6.008663,6.008663,6.008663,6.008663"
00001010,"18.022229,18.022229,18.022229,18.022229,18.022229,18.022229,18.022229,18.022229,18.022229,18.022229"
00001011,"18.722585,18.722585,18.722585,18.722585,18.722585,18.722585,18.722585,18.722585,18.722585,18.722585"
00001100,"0.581194,0.581194,0.581194,0.581194,0.581194,0.581194,0.581194,0.581194,0.581194,0.581194"
00001101,"1.281550,1.281550,1.281550,1.281550,1.281550,1.281550,1.281550,1.281550,1.281550,1.281550"
00001110,"13.295116,13.295116,13.295116,13.295116,13.295116,13.295116,13.295116,13.295116,13.295116,13.295116"
00001111,"13.995472,13.995472,13.995472,13.995472,13.995472,13.995472,13.995472,13.995472,13.995472,13.995472"
00010000,"1.150499,1.150499,1.150499,1.150499,1.150499,1.150499,1.150499,1.150499,1.150499,1.150499"
00010001,"1.850855,1.850855,1.850855,1.850855,1.850855,1.850855,1.850855,1.850855,1.850855,1.850855"
00010010,"13.864422,13.864422,13.864422,13.864422,13.864422,13.864422,13.864422,13.864422,13.864422,13.864422"
00010011,"14.564777,14.564777,14.564777,14.564777,14.564777,14.564777,14.564777,14.564777,14.564777,14.564777"
00010100,"-3.576614,-3.576614,-3.576614,-3.576614,-3.576614,-3.576614,-3.576614,-3.576614,-3.576614,-3.576614"
00010101,"-2.876258,-2.876258,-2.876258,-2.876258,-2.876258,-2.876258,-2.876258,-2.876258,-2.876258,-2.876258"
00010110,"9.137309,9.137309,9.137309,9.137309,9.137309,9.137309,9.137309,9.137309,9.137309,9.137309"
00010111,"9.837664,9.837664,9.837664,9.837664,9.837664,9.837664,9.837664,9.837664,9.837664,9.837664"
00011000,"6.320012,6.320012,6.320012,6.320012,6.320012,6.320012,6.320012,6.320012,6.320012,6.320012"
00011001,"7.020368,7.020368,7.020368,7.020368,7.020368,7.020368,7.020368,7.020368,7.020368,7.020368"
00011010,"19.033934,19.033934,19.033934,19.033934,19.033934,19.033934,19.033934,19.033934,19.033934,19.033934"
00011011,"19.734290,19.734290,19.734290,19.734290,19.734290,19.734290,19.734290,19.734290,19.734290,19.734290"
00011100,"1.592899,1.592899,1.592899,1.592899,1.592899,1.592899,1.592899,1.592899,1.592899,1.592899"
00011101,"2.293255,2.293255,2.293255,2.293255,2.293255,2.293255,2.293255,2.293255,2.293255,2.293255"
00011110,"14.306821,14.306821,14.306821,14.306821,14.306821,14.306821,14.306821,14.306821,14.306821,14.306821"
00011111,"15.007177,15.007177,15.007177,15.007177,15.007177,15.007177,15.007177,15.007177,15.007177,15.007177"
00100000,"-4.917705,-4.917705,-4.917705,-4.917705,-4.917705,-4.917705,-4.917705,-4.917705,-4.917705,-4.917705"
00100001,"-4.217349,-4.217349,-4.217349,-4.217349,-4.217349,-4.217349,-4.217349,-4.217349,-4.217349,-4.217349"
00100010,"7.796217,7.796217,7.796217,7.796217,7.796217,7.796217,7.796217,7.796217,7.796217,7.796217"
00100011,"8.496573,8.496573,8.496573,8.496573,8.496573,8.496573,8.496573,8.496573,8.496573,8.496573"
00100100,"-9.644818,-9.644818,-9.644818,-9.644818,-9.644818,-9.644818,-9.644818,-9.644818,-9.644818,-9.644818"
00100101,"-8.944462,-8.944462,-8.944462,-8.944462,-8.944462,-8.944462,-8.944462,-8.944462,-8.944462,-8.944462"
00100110,"3.069104,3.069104,3.069104,3.069104,3.069104,3.069104,3.069104,3.069104,3.069104,3.069104"
