challenge,deltas
00000000,"-0.724729,-0.724729,-0.724729,-0.724729,-0.724729,-0.724729,-0.724729,-0.724729,-0.724729,-0.724729"
00000001,"-4.054441,-4.054441,-4.054441,-4.054441,-4.054441,-4.054441,-4.054441,-4.054441,-4.054441,-4.054441"
00000010,"-8.445964,-8.445964,-8.445964,-8.445964,-8.445964,-8.445964,-8.445964,-8.445964,-8.445964,-8.445964"
00000011,"-11.775675,-11.775675,-11.775675,-11.775675,-11.775675,-11.775675,-11.775675,-11.775675,-11.775675,-11.775675"
00000100,"0.047050,0.047050,0.047050,0.047050,0.047050,0.047050,0.047050,0.047050,0.047050,0.047050"
00000101,"-3.282661,-3.282661,-3.282661,-3.282661,-3.282661,-3.282661,-3.282661,-3.282661,-3.282661,-3.282661"
00000110,"-7.674185,-7.674185,-7.674185,-7.674185,-7.674185,-7.674185,-7.674185,-7.674185,-7.674185,-7.674185"
00000111,"-11.003896,-11.003896,-11.003896,-11.003896,-11.003896,-11.003896,-11.003896,-11.003896,-11.003896,-11.003896"
00001000,"-6.384431,-6.384431,-6.384431,-6.384431,-6.384431,-6.384431,-6.384431,-6.384431,-6.384431,-6.384431"
00001001,"-9.714142,-9.714142,-9.714142,-9.714142,-9.714142,-9.714142,-9.714142,-9.714142,-9.714142,-9.714142"
00001010,"-14.105666,-14.105666,-14.105666,-14.105666,-14.105666,-14.105666,-14.105666,-14.105666,-14.105666,-14.105666"
00001011,"-17.435377,-17.435377,-17.435377,-17.435377,-17.435377,-17.435377,-17.435377,-17.435377,-17.435377,-17.435377"
00001100,"-5.612652,-5.612652,-5.612652,-5.612652,-5.612652,-5.612652,-5.612652,-5.612652,-5.612652,-5.612652"
00001101,"-8.942363,-8.942363,-8.942363,-8.942363,-8.942363,-8.942363,-8.942363,-8.942363,-8.942363,-8.942363"
00001110,"-13.333886,-13.333886,-13.333886,-13.333886,-13.333886,-13.333886,-13.333886,-13.333886,-13.333886,-13.333886"
00001111,"-16.663597,-16.663597,-16.663597,-16.663597,-16.663597,-16.663597,-16.663597,-16.663597,-16.663597,-16.663597"
00010000,"0.729559,0.729559,0.729559,0.729559,0.729559,0.729559,0.729559,0.729559,0.729559,0.729559"
00010001,"-2.600152,-2.600152,-2.600152,-2.600152,-2.600152,-2.600152,-2.600152,-2.600152,-2.600152,-2.600152"
00010010,"-6.991675,-6.991675,-6.991675,-6.991675,-6.991675,-6.991675,-6.991675,-6.991675,-6.991675,-6.991675"
00010011,"-10.321387,-10.321387,-10.321387,-10.321387,-10.321387,-10.321387,-10.321387,-10.321387,-10.321387,-10.321387"
00010100,"1.501339,1.501339,1.501339,1.501339,1.501339,1.501339,1.501339,1.501339,1.501339,1.501339"
00010101,"-1.828372,-1.828372,-1.828372,-1.828372,-1.828372,-1.828372,-1.828372,-1.828372,-1.828372,-1.828372"
00010110,"-6.219896,-6.219896,-6.219896,-6.219896,-6.219896,-6.219896,-6.219896,-6.219896,-6.219896,-6.219896"
00010111,"-9.549607,-9.549607,-9.549607,-9.549607,-9.549607,-9.549607,-9.549607,-9.549607,-9.549607,-9.549607"
00011000,"-4.930142,-4.930142,-4.930142,-4.930142,-4.930142,-4.930142,-4.930142,-4.930142,-4.930142,-4.930142"
00011001,"-8.259853,-8.259853,-8.259853,-8.259853,-8.259853,-8.259853,-8.259853,-8.259853,-8.259853,-8.259853"
00011010,"-12.651377,-12.651377,-12.651377,-12.651377,-12.651377,-12.651377,-12.651377,-12.651377,-12.651377,-12.651377"
00011011,"-15.981088,-15.981088,-15.981088,-15.981088,-15.981088,-15.981088,-15.981088,-15.981088,-15.981088,-15.981088"
00011100,"-4.158363,-4.158363,-4.158363,-4.158363,-4.158363,-4.158363,-4.158363,-4.158363,-4.158363,-4.158363"
00011101,"-7.488074,-7.488074,-7.488074,-7.488074,-7.488074,-7.488074,-7.488074,-7.488074,-7.488074,-7.488074"
00011110,"-11.879597,-11.879597,-11.879597,-11.879597,-11.879597,-11.879597,-11.879597,-11.879597,-11.879597,-11.879597"
00011111,"-15.209309,-15.209309,-15.209309,-15.209309,-15.209309,-15.209309,-15.209309,-15.209309,-15.209309,-15.209309"
00100000,"7.126645,7.126645,7.126645,7.126645,7.126645,7.126645,7.126645,7.126645,7.126645,7.126645"
00100001,"3.796933,3.796933,3.796933,3.796933,3.796933,3.796933,3.796933,3.796933,3.796933,3.796933"
00100010,"-0.594590,-0.594590,-0.594590,-0.594590,-0.594590,-0.594590,-0.594590,-0.594590,-0.594590,-0.594590"
00100011,"-3.924301,-3.924301,-3.924301,-3.924301,-3.924301,-3.924301,-3.924301,-3.924301,-3.924301,-3.924301"
00100100,"7.898424,7.898424,7.898424,7.898424,7.898424,7.898424,7.898424,7.898424,7.898424,7.898424"
00100101,"4.568713,4.568713,4.568713,4.568713,4.568713,4.568713,4.568713,4.568713,4.568713,4.568713"
00100110,"0.177189,0.177189,0.177189,0.177189,0.177189,0.177189,0.177189,0.177189,0.177189,0.177189"
00100111,"-3.152522,-3.152522,-3.152522,-3.152522,-3.152522,-3.152522,-3.152522,-3.152522,-3.152522,-3.152522"
00101000,"1.466943,1.466943,1.466943,1.466943,1.466943,1.466943,1.466943,1.466943,1.466943,1.466943"
00101001,"-1.862768,-1.862768,-1.862768,-1.862768,-1.862768,-1.862768,-1.862768,-1.862768,-1.862768,-1.862768"
00101010,"-6.254292,-6.254292,-6.254292,-6.254292,-6.254292,-6.254292,-6.254292,-6.254292,-6.254292,-6.254292"
00101011,"-9.584003,-9.584003,-9.584003,-9.584003,-9.584003,-9.584003,-9.584003,-9.584003,-9.584003,-9.584003"
00101100,"2.238722,2.238722,2.238722,2.238722,2.238722,2.238722,2.238722,2.238722,2.238722,2.238722"
00101101,"-1.090989,-1.090989,-1.090989,-1.090989,-1.090989,-1.090989,-1.090989,-1.090989,-1.090989,-1.090989"
00101110,"-5.482512,-5.482512,-5.482512,-5.482512,-5.482512,-5.482512,-5.482512,-5.482512,-5.482512,-5.482512"
00101111,"-8.812223,-8.812223,-8.812223,-8.812223,-8.812223,-8.812223,-8.812223,-8.812223,-8.812223,-8.812223"
00110000,"8.580933,8.580933,8.580933,8.580933,8.580933,8.580933,8.580933,8.580933,8.580933,8.580933"
00110001,"5.251222,5.251222,5.251222,5.251222,5.251222,5.251222,5.251222,5.251222,5.251222,5.251222"
00110010,"0.859699,0.859699,0.859699,0.859699,0.859699,0.859699,0.859699,0.859699,0.859699,0.859699"
00110011,"-2.470013,-2.470013,-2.470013,-2.470013,-2.470013,-2.470013,-2.470013,-2.470013,-2.470013,-2.470013"
00110100,"9.352713,9.352713,9.352713,9.352713,9.352713,9.352713,9.352713,9.352713,9.352713,9.352713"
00110101,"6.023002,6.023002,6.023002,6.023002,6.023002,6.023002,6.023002,6.023002,6.023002,6.023002"
00110110,"1.631478,1.631478,1.631478,1.631478,1.631478,1.631478,1.631478,1.631478,1.631478,1.631478"
00110111,"-1.698233,-1.698233,-1.698233,-1.698233,-1.698233,-1.698233,-1.698233,-1.698233,-1.698233,-1.698233"
00111000,"2.921232,2.921232,2.921232,2.921232,2.921232,2.921232,2.921232,2.921232,2.921232,2.921232"
00111001,"-0.408479,-0.408479,-0.408479,-0.408479,-0.408479,-0.408479,-0.408479,-0.408479,-0.408479,-0.408479"
00111010,"-4.800003,-4.800003,-4.800003,-4.800003,-4.800003,-4.800003,-4.800003,-4.800003,-4.800003,-4.800003"
00111011,"-8.129714,-8.129714,-8.129714,-8.129714,-8.129714,-8.129714,-8.129714,-8.129714,-8.129714,-8.129714"
00111100,"3.693011,3.693011,3.693011,3.693011,3.693011,3.693011,3.693011,3.693011,3.693011,3.693011"
00111101,"0.363300,0.363300,0.363300,0.363300,0.363300,0.363300,0.363300,0.363300,0.363300,0.363300"
00111110,"-4.028223,-4.028223,-4.028223,-4.028223,-4.028223,-4.028223,-4.028223,-4.028223,-4.028223,-4.028223"
00111111,"-7.357935,-7.357935,-7.357935,-7.357935,-7.357935,-7.357935,-7.357935,-7.357935,-7.357935,-7.357935"
01000000,"6.090666,6.090666,6.090666,6.090666,6.090666,6.090666,6.090666,6.090666,6.090666,6.090666"
01000001,"2.760955,2.760955,2.760955,2.760955,2.760955,2.760955,2.760955,2.760955,2.760955,2.760955"
01000010,"-1.630568,-1.630568,-1.630568,-1.630568,-1.630568,-1.630568,-1.630568,-1.630568,-1.630568,-1.630568"
01000011,"-4.960280,-4.960280,-4.960280,-4.960280,-4.960280,-4.960280,-4.960280,-4.960280,-4.960280,-4.960280"
01000100,"6.862446,6.862446,6.862446,6.862446,6.862446,6.862446,6.862446,6.862446,6.862446,6.862446"
01000101,"3.532735,3.532735,3.532735,3.532735,3.532735,3.532735,3.532735,3.532735,3.532735,3.532735"
01000110,"-0.858789,-0.858789,-0.858789,-0.858789,-0.858789,-0.858789,-0.858789,-0.858789,-0.858789,-0.858789"
01000111,"-4.188500,-4.188500,-4.188500,-4.188500,-4.188500,-4.188500,-4.188500,-4.188500,-4.188500,-4.188500"
01001000,"0.430965,0.430965,0.430965,0.430965,0.430965,0.430965,0.430965,0.430965,0.430965,0.430965"
01001001,"-2.898746,-2.898746,-2.898746,-2.898746,-2.898746,-2.898746,-2.898746,-2.898746,-2.898746,-2.898746"
01001010,"-7.290270,-7.290270,-7.290270,-7.290270,-7.290270,-7.290270,-7.290270,-7.290270,-7.290270,-7.290270"
01001011,"-10.619981,-10.619981,-10.619981,-10.619981,-10.619981,-10.619981,-10.619981,-10.619981,-10.619981,-10.619981"
01001100,"1.202744,1.202744,1.202744,1.202744,1.202744,1.202744,1.202744,1.202744,1.202744,1.202744"
01001101,"-2.126967,-2.126967,-2.126967,-2.126967,-2.126967,-2.126967,-2.126967,-2.126967,-2.126967,-2.126967"
01001110,"-6.518490,-6.518490,-6.518490,-6.518490,-6.518490,-6.518490,-6.518490,-6.518490,-6.518490,-6.518490"
01001111,"-9.848202,-9.848202,-9.848202,-9.848202,-9.848202,-9.848202,-9.848202,-9.848202,-9.848202,-9.848202"
01010000,"7.544955,7.544955,7.544955,7.544955,7.544955,7.544955,7.544955,7.544955,7.544955,7.544955"
01010001,"4.215244,4.215244,4.215244,4.215244,4.215244,4.215244,4.215244,4.215244,4.215244,4.215244"
01010010,"-0.176279,-0.176279,-0.176279,-0.176279,-0.176279,-0.176279,-0.176279,-0.176279,-0.176279,-0.176279"
01010011,"-3.505991,-3.505991,-3.505991,-3.505991,-3.505991,-3.505991,-3.505991,-3.505991,-3.505991,-3.505991"
01010100,"8.316735,8.316735,8.316735,8.316735,8.316735,8.316735,8.316735,8.316735,8.316735,8.316735"
01010101,"4.987023,4.987023,4.987023,4.987023,4.987023,4.987023,4.987023,4.987023,4.987023,4.987023"
01010110,"0.595500,0.595500,0.595500,0.595500,0.595500,0.595500,0.595500,0.595500,0.595500,0.595500"
01010111,"-2.734211,-2.734211,-2.734211,-2.734211,-2.734211,-2.734211,-2.734211,-2.734211,-2.734211,-2.734211"
01011000,"1.885254,1.885254,1.885254,1.885254,1.885254,1.885254,1.885254,1.885254,1.885254,1.885254"
01011001,"-1.444458,-1.444458,-1.444458,-1.444458,-1.444458,-1.444458,-1.444458,-1.444458,-1.444458,-1.444458"
01011010,"-5.835981,-5.835981,-5.835981,-5.835981,-5.835981,-5.835981,-5.835981,-5.835981,-5.835981,-5.835981"
01011011,"-9.165692,-9.165692,-9.165692,-9.165692,-9.165692,-9.165692,-9.165692,-9.165692,-9.165692,-9.165692"
01011100,"2.657033,2.657033,2.657033,2.657033,2.657033,2.657033,2.657033,2.657033,2.657033,2.657033"
01011101,"-0.672678,-0.672678,-0.672678,-0.672678,-0.672678,-0.672678,-0.672678,-0.672678,-0.672678,-0.672678"
01011110,"-5.064202,-5.064202,-5.064202,-5.064202,-5.064202,-5.064202,-5.064202,-5.064202,-5.064202,-5.064202"
01011111,"-8.393913,-8.393913,-8.393913,-8.393913,-8.393913,-8.393913,-8.393913,-8.393913,-8.393913,-8.393913"
01100000,"13.942040,13.942040,13.942040,13.942040,13.942040,13.942040,13.942040,13.942040,13.942040,13.942040"
01100001,"10.612329,10.612329,10.612329,10.612329,10.612329,10.612329,10.612329,10.612329,10.612329,10.612329"
01100010,"6.220806,6.220806,6.220806,6.220806,6.220806,6.220806,6.220806,6.220806,6.220806,6.220806"
01100011,"2.891094,2.891094,2.891094,2.891094,2.891094,2.891094,2.891094,2.891094,2.891094,2.891094"
01100100,"14.713820,14.713820,14.713820,14.713820,14.713820,14.713820,14.713820,14.713820,14.713820,14.713820"
01100101,"11.384109,11.384109,11.384109,11.384109,11.384109,11.384109,11.384109,11.384109,11.384109,11.384109"
01100110,"6.992585,6.992585,6.992585,6.992585,6.992585,6.992585,6.992585,6.992585,6.992585,6.992585"
01100111,"3.662874,3.662874,3.662874,3.662874,3.662874,3.662874,3.662874,3.662874,3.662874,3.662874"
01101000,"8.282339,8.282339,8.282339,8.282339,8.282339,8.282339,8.282339,8.282339,8.282339,8.282339"
01101001,"4.952628,4.952628,4.952628,4.952628,4.952628,4.952628,4.952628,4.952628,4.952628,4.952628"
01101010,"0.561104,0.561104,0.561104,0.561104,0.561104,0.561104,0.561104,0.561104,0.561104,0.561104"
01101011,"-2.768607,-2.768607,-2.768607,-2.768607,-2.768607,-2.768607,-2.768607,-2.768607,-2.768607,-2.768607"
01101100,"9.054118,9.054118,9.054118,9.054118,9.054118,9.054118,9.054118,9.054118,9.054118,9.054118"
01101101,"5.724407,5.724407,5.724407,5.724407,5.724407,5.724407,5.724407,5.724407,5.724407,5.724407"
01101110,"1.332884,1.332884,1.332884,1.332884,1.332884,1.332884,1.332884,1.332884,1.332884,1.332884"
01101111,"-1.996828,-1.996828,-1.996828,-1.996828,-1.996828,-1.996828,-1.996828,-1.996828,-1.996828,-1.996828"
01110000,"15.396329,15.396329,15.396329,15.396329,15.396329,15.396329,15.396329,15.396329,15.396329,15.396329"
01110001,"12.066618,12.066618,12.066618,12.066618,12.066618,12.066618,12.066618,12.066618,12.066618,12.066618"
01110010,"7.675095,7.675095,7.675095,7.675095,7.675095,7.675095,7.675095,7.675095,7.675095,7.675095"
01110011,"4.345383,4.345383,4.345383,4.345383,4.345383,4.345383,4.345383,4.345383,4.345383,4.345383"
01110100,"16.168109,16.168109,16.168109,16.168109,16.168109,16.168109,16.168109,16.168109,16.168109,16.168109"
01110101,"12.838397,12.838397,12.838397,12.838397,12.838397,12.838397,12.838397,12.838397,12.838397,12.838397"
01110110,"8.446874,8.446874,8.446874,8.446874,8.446874,8.446874,8.446874,8.446874,8.446874,8.446874"
01110111,"5.117163,5.117163,5.117163,5.117163,5.117163,5.117163,5.117163,5.117163,5.117163,5.117163"
01111000,"9.736628,9.736628,9.736628,9.736628,9.736628,9.736628,9.736628,9.736628,9.736628,9.736628"
01111001,"6.406916,6.406916,6.406916,6.406916,6.406916,6.406916,6.406916,6.406916,6.406916,6.406916"
01111010,"2.015393,2.015393,2.015393,2.015393,2.015393,2.015393,2.015393,2.015393,2.015393,2.015393"
01111011,"-1.314318,-1.314318,-1.314318,-1.314318,-1.314318,-1.314318,-1.314318,-1.314318,-1.314318,-1.314318"
01111100,"10.508407,10.508407,10.508407,10.508407,10.508407,10.508407,10.508407,10.508407,10.508407,10.508407"
01111101,"7.178696,7.178696,7.178696,7.178696,7.178696,7.178696,7.178696,7.178696,7.178696,7.178696"
01111110,"2.787172,2.787172,2.787172,2.787172,2.787172,2.787172,2.787172,2.787172,2.787172,2.787172"
01111111,"-0.542539,-0.542539,-0.542539,-0.542539,-0.542539,-0.542539,-0.542539,-0.542539,-0.542539,-0.542539"
10000000,"0.542539,0.542539,0.542539,0.542539,0.542539,0.542539,0.542539,0.542539,0.542539,0.542539"
