k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.47357723,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.47357723,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.47357723,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.47357723,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.47357723,0.46484374999818423,0.9999999999915966,119,137,0,0,0.039453125,0.039453125,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.47357723,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
1,0.25,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.47357723,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.43071935,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.43071935,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.43071935,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.43071935,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.43071935,0.46484374999818423,0.9999999999915966,119,137,0,0,0.039453125,0.039453125,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.43071935,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
1,0.25,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.43071935,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.34618786,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.34618786,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.34618786,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.34618786,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.34618786,0.46484374999818423,0.9999999999915966,119,137,0,0,0.039453125,0.039453125,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.34618786,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
1,0.25,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.34618786,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
1,0.25,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.69357383,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,0.25,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.69357383,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
1,0.25,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.69357383,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
1,0.25,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.69357383,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
