model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.6366666666666667,0.7826086956473131,0.9618320610613601,126,35,5,90,0.023046875,0.007763975155279503,0.015282899844720498
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.6366666666666667,0.9128630705356313,0.9999999999954546,220,21,0,15,0.0095703125,0.0040715767634854775,0.005498735736514523
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.6366666666666667,0.7901234567852462,0.7398843930593071,128,34,45,49,0.0196044921875,0.01107253086419753,0.00853196132330247
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.6366666666666667,0.642857142851403,0.5714285714240362,72,40,54,90,0.0252685546875,0.011774553571428573,0.013494001116071427
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.6366666666666667,0.6956521739069943,0.799999999992,80,35,20,121,0.039282226562499994,0.011304347826086957,0.02797787873641304
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.6366666666666667,0.7735849056530794,0.6890756302463102,82,24,37,113,0.039453125,0.00884433962264151,0.03060878537735849
RF,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.6366666666666667,0.5999999999958621,0.6304347826041273,87,58,51,60,0.0283203125,0.01543103448275862,0.01288927801724138
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.85,0.9999999995,0.014285714285612245,2,0,138,116,0.026928710937499996,0.0,0.026928710937499996
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.85,0.9999999999,0.04545454545433884,10,0,210,36,0.0095703125,0.0,0.0095703125
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.85,0.9999999999666667,0.1734104046232751,30,0,143,83,0.0196044921875,0.0,0.0196044921875
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.85,0.9999999999811321,0.42063492063158225,53,0,73,130,0.0252685546875,0.0,0.0252685546875
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.85,0.8105263157809418,0.7699999999923,77,18,23,138,0.039282226562499994,0.005131578947368421,0.03415064761513158
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.85,0.8539325842600681,0.6386554621795071,76,13,43,124,0.039453125,0.0035112359550561797,0.03594188904494382
RF,1,0.1,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.85,0.7599999999898667,0.4130434782578765,57,18,81,100,0.0283203125,0.0065,0.0218203125
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.5,0.949999999988125,0.5428571428532654,76,4,64,112,0.026928710937499996,0.001171875,0.025756835937499997
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.5,0.7913669064691269,0.8396946564821398,110,29,21,96,0.023046875,0.00912769784172662,0.013919177158273382
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.5,0.9499999999920833,0.6589595375684454,114,6,59,77,0.0196044921875,0.0011979166666666666,0.018406575520833333
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.5,0.8444444444350617,0.6031746031698161,76,14,50,116,0.0252685546875,0.004791666666666667,0.020476888020833334
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.5,0.793814432981507,0.7699999999923,77,20,23,136,0.039282226562499994,0.005734536082474227,0.03354769048002577
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.5,0.8118811881107735,0.6890756302463102,82,19,37,118,0.039453125,0.0051361386138613855,0.034316986386138615
RF,1,0.1,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.5,0.7319587628790519,0.5144927536194602,71,26,67,92,0.0283203125,0.007731958762886598,0.020588353737113402
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.7333333333333333,0.7868852458951895,0.6857142857093879,96,26,44,90,0.026928710937499996,0.010911885245901637,0.01601682569159836
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.7333333333333333,0.9090909090826446,0.7633587786201271,100,10,31,115,0.023046875,0.0027840909090909092,0.02026278409090909
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.7333333333333333,0.9832402234581943,0.7999999999963636,176,3,44,33,0.0095703125,0.0005237430167597765,0.009046569483240225
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.7333333333333333,0.8888888888747796,0.4444444444409171,56,7,70,123,0.0252685546875,0.0023809523809523807,0.02288760230654762
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.7333333333333333,0.7878787878549128,0.2599999999974,26,7,74,149,0.039282226562499994,0.007007575757575758,0.03227465080492424
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.7333333333333333,0.9166666666284722,0.18487394957827835,22,2,97,135,0.039453125,0.0018229166666666665,0.03763020833333333
RF,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.7333333333333333,0.7173913043322306,0.2391304347808759,33,13,105,105,0.0283203125,0.007336956521739131,0.02098335597826087
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.67,0.8524590163864553,0.7428571428518368,104,18,36,98,0.026928710937499996,0.009938524590163934,0.01699018634733606
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.67,0.8991596638579902,0.816793893123536,107,12,24,113,0.023046875,0.004359243697478992,0.01868763130252101
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.67,0.9261744966380794,0.627272727269876,138,11,82,25,0.0095703125,0.00700503355704698,0.002565278942953021
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.67,0.7524752475173022,0.4393063583789636,76,25,97,58,0.0196044921875,0.013242574257425744,0.006361917930074255
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.67,0.9999999999827587,0.5799999999941999,58,0,42,156,0.039282226562499994,0.0006465517241379311,0.03863567483836206
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.67,0.9999999999795919,0.41176470587889274,49,0,70,137,0.039453125,0.0010204081632653062,0.038432716836734694
RF,1,0.1,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.67,0.9166666666539351,0.4782608695617518,66,6,72,112,0.0283203125,0.0038194444444444448,0.024500868055555555
RF,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.7033333333333334,0.8548387096636317,0.3785714285687245,53,9,87,107,0.026928710937499996,0.005443548387096774,0.02148516255040322
