challenge,deltas
00000000,"-2.006750,-2.006750,-2.006750,-2.006750,-2.006750,-2.006750,-2.006750,-2.006750,-2.006750,-2.006750"
00000001,"-0.682478,-0.682478,-0.682478,-0.682478,-0.682478,-0.682478,-0.682478,-0.682478,-0.682478,-0.682478"
00000010,"-10.954795,-10.954795,-10.954795,-10.954795,-10.954795,-10.954795,-10.954795,-10.954795,-10.954795,-10.954795"
00000011,"-9.630524,-9.630524,-9.630524,-9.630524,-9.630524,-9.630524,-9.630524,-9.630524,-9.630524,-9.630524"
00000100,"6.940816,6.940816,6.940816,6.940816,6.940816,6.940816,6.940816,6.940816,6.940816,6.940816"
00000101,"8.265087,8.265087,8.265087,8.265087,8.265087,8.265087,8.265087,8.265087,8.265087,8.265087"
00000110,"-2.007230,-2.007230,-2.007230,-2.007230,-2.007230,-2.007230,-2.007230,-2.007230,-2.007230,-2.007230"
00000111,"-0.682958,-0.682958,-0.682958,-0.682958,-0.682958,-0.682958,-0.682958,-0.682958,-0.682958,-0.682958"
00001000,"-2.738081,-2.738081,-2.738081,-2.738081,-2.738081,-2.738081,-2.738081,-2.738081,-2.738081,-2.738081"
00001001,"-1.413809,-1.413809,-1.413809,-1.413809,-1.413809,-1.413809,-1.413809,-1.413809,-1.413809,-1.413809"
00001010,"-11.686126,-11.686126,-11.686126,-11.686126,-11.686126,-11.686126,-11.686126,-11.686126,-11.686126,-11.686126"
00001011,"-10.361855,-10.361855,-10.361855,-10.361855,-10.361855,-10.361855,-10.361855,-10.361855,-10.361855,-10.361855"
00001100,"6.209485,6.209485,6.209485,6.209485,6.209485,6.209485,6.209485,6.209485,6.209485,6.209485"
00001101,"7.533756,7.533756,7.533756,7.533756,7.533756,7.533756,7.533756,7.533756,7.533756,7.533756"
00001110,"-2.738561,-2.738561,-2.738561,-2.738561,-2.738561,-2.738561,-2.738561,-2.738561,-2.738561,-2.738561"
00001111,"-1.414289,-1.414289,-1.414289,-1.414289,-1.414289,-1.414289,-1.414289,-1.414289,-1.414289,-1.414289"
00010000,"-4.363511,-4.363511,-4.363511,-4.363511,-4.363511,-4.363511,-4.363511,-4.363511,-4.363511,-4.363511"
