challenge,deltas
00000000,"-7.369304,-7.369304,-7.369304,-7.369304,-7.369304,-7.369304,-7.369304,-7.369304,-7.369304,-7.369304"
00000001,"-1.945580,-1.945580,-1.945580,-1.945580,-1.945580,-1.945580,-1.945580,-1.945580,-1.945580,-1.945580"
00000010,"-3.789116,-3.789116,-3.789116,-3.789116,-3.789116,-3.789116,-3.789116,-3.789116,-3.789116,-3.789116"
00000011,"1.634608,1.634608,1.634608,1.634608,1.634608,1.634608,1.634608,1.634608,1.634608,1.634608"
00000100,"-8.219119,-8.219119,-8.219119,-8.219119,-8.219119,-8.219119,-8.219119,-8.219119,-8.219119,-8.219119"
00000101,"-2.795395,-2.795395,-2.795395,-2.795395,-2.795395,-2.795395,-2.795395,-2.795395,-2.795395,-2.795395"
00000110,"-4.638932,-4.638932,-4.638932,-4.638932,-4.638932,-4.638932,-4.638932,-4.638932,-4.638932,-4.638932"
00000111,"0.784792,0.784792,0.784792,0.784792,0.784792,0.784792,0.784792,0.784792,0.784792,0.784792"
00001000,"2.261421,2.261421,2.261421,2.261421,2.261421,2.261421,2.261421,2.261421,2.261421,2.261421"
00001001,"7.685145,7.685145,7.685145,7.685145,7.685145,7.685145,7.685145,7.685145,7.685145,7.685145"
00001010,"5.841609,5.841609,5.841609,5.841609,5.841609,5.841609,5.841609,5.841609,5.841609,5.841609"
00001011,"11.265333,11.265333,11.265333,11.265333,11.265333,11.265333,11.265333,11.265333,11.265333,11.265333"
00001100,"1.411606,1.411606,1.411606,1.411606,1.411606,1.411606,1.411606,1.411606,1.411606,1.411606"
00001101,"6.835330,6.835330,6.835330,6.835330,6.835330,6.835330,6.835330,6.835330,6.835330,6.835330"
00001110,"4.991793,4.991793,4.991793,4.991793,4.991793,4.991793,4.991793,4.991793,4.991793,4.991793"
00001111,"10.415517,10.415517,10.415517,10.415517,10.415517,10.415517,10.415517,10.415517,10.415517,10.415517"
00010000,"-8.570262,-8.570262,-8.570262,-8.570262,-8.570262,-8.570262,-8.570262,-8.570262,-8.570262,-8.570262"
00010001,"-3.146538,-3.146538,-3.146538,-3.146538,-3.146538,-3.146538,-3.146538,-3.146538,-3.146538,-3.146538"
00010010,"-4.990075,-4.990075,-4.990075,-4.990075,-4.990075,-4.990075,-4.990075,-4.990075,-4.990075,-4.990075"
00010011,"0.433649,0.433649,0.433649,0.433649,0.433649,0.433649,0.433649,0.433649,0.433649,0.433649"
00010100,"-9.420077,-9.420077,-9.420077,-9.420077,-9.420077,-9.420077,-9.420077,-9.420077,-9.420077,-9.420077"
00010101,"-3.996353,-3.996353,-3.996353,-3.996353,-3.996353,-3.996353,-3.996353,-3.996353,-3.996353,-3.996353"
00010110,"-5.839890,-5.839890,-5.839890,-5.839890,-5.839890,-5.839890,-5.839890,-5.839890,-5.839890,-5.839890"
00010111,"-0.416166,-0.416166,-0.416166,-0.416166,-0.416166,-0.416166,-0.416166,-0.416166,-0.416166,-0.416166"
00011000,"1.060463,1.060463,1.060463,1.060463,1.060463,1.060463,1.060463,1.060463,1.060463,1.060463"
00011001,"6.484187,6.484187,6.484187,6.484187,6.484187,6.484187,6.484187,6.484187,6.484187,6.484187"
00011010,"4.640650,4.640650,4.640650,4.640650,4.640650,4.640650,4.640650,4.640650,4.640650,4.640650"
00011011,"10.064374,10.064374,10.064374,10.064374,10.064374,10.064374,10.064374,10.064374,10.064374,10.064374"
00011100,"0.210648,0.210648,0.210648,0.210648,0.210648,0.210648,0.210648,0.210648,0.210648,0.210648"
00011101,"5.634372,5.634372,5.634372,5.634372,5.634372,5.634372,5.634372,5.634372,5.634372,5.634372"
00011110,"3.790835,3.790835,3.790835,3.790835,3.790835,3.790835,3.790835,3.790835,3.790835,3.790835"
00011111,"9.214559,9.214559,9.214559,9.214559,9.214559,9.214559,9.214559,9.214559,9.214559,9.214559"
00100000,"-9.364915,-9.364915,-9.364915,-9.364915,-9.364915,-9.364915,-9.364915,-9.364915,-9.364915,-9.364915"
00100001,"-3.941191,-3.941191,-3.941191,-3.941191,-3.941191,-3.941191,-3.941191,-3.941191,-3.941191,-3.941191"
00100010,"-5.784728,-5.784728,-5.784728,-5.784728,-5.784728,-5.784728,-5.784728,-5.784728,-5.784728,-5.784728"
00100011,"-0.361004,-0.361004,-0.361004,-0.361004,-0.361004,-0.361004,-0.361004,-0.361004,-0.361004,-0.361004"
00100100,"-10.214731,-10.214731,-10.214731,-10.214731,-10.214731,-10.214731,-10.214731,-10.214731,-10.214731,-10.214731"
00100101,"-4.791007,-4.791007,-4.791007,-4.791007,-4.791007,-4.791007,-4.791007,-4.791007,-4.791007,-4.791007"
00100110,"-6.634543,-6.634543,-6.634543,-6.634543,-6.634543,-6.634543,-6.634543,-6.634543,-6.634543,-6.634543"
00100111,"-1.210819,-1.210819,-1.210819,-1.210819,-1.210819,-1.210819,-1.210819,-1.210819,-1.210819,-1.210819"
00101000,"0.265810,0.265810,0.265810,0.265810,0.265810,0.265810,0.265810,0.265810,0.265810,0.265810"
00101001,"5.689534,5.689534,5.689534,5.689534,5.689534,5.689534,5.689534,5.689534,5.689534,5.689534"
00101010,"3.845997,3.845997,3.845997,3.845997,3.845997,3.845997,3.845997,3.845997,3.845997,3.845997"
00101011,"9.269721,9.269721,9.269721,9.269721,9.269721,9.269721,9.269721,9.269721,9.269721,9.269721"
00101100,"-0.584006,-0.584006,-0.584006,-0.584006,-0.584006,-0.584006,-0.584006,-0.584006,-0.584006,-0.584006"
00101101,"4.839718,4.839718,4.839718,4.839718,4.839718,4.839718,4.839718,4.839718,4.839718,4.839718"
