challenge,deltas
00000000,"12.652099,12.652099,12.652099,12.652099,12.652099,12.652099,12.652099,12.652099,12.652099,12.652099"
00000001,"3.061532,3.061532,3.061532,3.061532,3.061532,3.061532,3.061532,3.061532,3.061532,3.061532"
00000010,"11.408535,11.408535,11.408535,11.408535,11.408535,11.408535,11.408535,11.408535,11.408535,11.408535"
00000011,"1.817968,1.817968,1.817968,1.817968,1.817968,1.817968,1.817968,1.817968,1.817968,1.817968"
00000100,"7.118681,7.118681,7.118681,7.118681,7.118681,7.118681,7.118681,7.118681,7.118681,7.118681"
00000101,"-2.471885,-2.471885,-2.471885,-2.471885,-2.471885,-2.471885,-2.471885,-2.471885,-2.471885,-2.471885"
00000110,"5.875117,5.875117,5.875117,5.875117,5.875117,5.875117,5.875117,5.875117,5.875117,5.875117"
00000111,"-3.715449,-3.715449,-3.715449,-3.715449,-3.715449,-3.715449,-3.715449,-3.715449,-3.715449,-3.715449"
00001000,"11.596912,11.596912,11.596912,11.596912,11.596912,11.596912,11.596912,11.596912,11.596912,11.596912"
00001001,"2.006346,2.006346,2.006346,2.006346,2.006346,2.006346,2.006346,2.006346,2.006346,2.006346"
00001010,"10.353348,10.353348,10.353348,10.353348,10.353348,10.353348,10.353348,10.353348,10.353348,10.353348"
00001011,"0.762782,0.762782,0.762782,0.762782,0.762782,0.762782,0.762782,0.762782,0.762782,0.762782"
00001100,"6.063495,6.063495,6.063495,6.063495,6.063495,6.063495,6.063495,6.063495,6.063495,6.063495"
00001101,"-3.527072,-3.527072,-3.527072,-3.527072,-3.527072,-3.527072,-3.527072,-3.527072,-3.527072,-3.527072"
00001110,"4.819931,4.819931,4.819931,4.819931,4.819931,4.819931,4.819931,4.819931,4.819931,4.819931"
00001111,"-4.770636,-4.770636,-4.770636,-4.770636,-4.770636,-4.770636,-4.770636,-4.770636,-4.770636,-4.770636"
00010000,"3.873131,3.873131,3.873131,3.873131,3.873131,3.873131,3.873131,3.873131,3.873131,3.873131"
