challenge,deltas
00000000,"0.526224,0.526224,0.526224,0.526224,0.526224,0.526224,0.526224,0.526224,0.526224,0.526224"
00000001,"-1.633753,-1.633753,-1.633753,-1.633753,-1.633753,-1.633753,-1.633753,-1.633753,-1.633753,-1.633753"
00000010,"0.244253,0.244253,0.244253,0.244253,0.244253,0.244253,0.244253,0.244253,0.244253,0.244253"
00000011,"-1.915725,-1.915725,-1.915725,-1.915725,-1.915725,-1.915725,-1.915725,-1.915725,-1.915725,-1.915725"
00000100,"15.835906,15.835906,15.835906,15.835906,15.835906,15.835906,15.835906,15.835906,15.835906,15.835906"
00000101,"13.675929,13.675929,13.675929,13.675929,13.675929,13.675929,13.675929,13.675929,13.675929,13.675929"
00000110,"15.553935,15.553935,15.553935,15.553935,15.553935,15.553935,15.553935,15.553935,15.553935,15.553935"
00000111,"13.393958,13.393958,13.393958,13.393958,13.393958,13.393958,13.393958,13.393958,13.393958,13.393958"
00001000,"5.993451,5.993451,5.993451,5.993451,5.993451,5.993451,5.993451,5.993451,5.993451,5.993451"
00001001,"3.833474,3.833474,3.833474,3.833474,3.833474,3.833474,3.833474,3.833474,3.833474,3.833474"
00001010,"5.711480,5.711480,5.711480,5.711480,5.711480,5.711480,5.711480,5.711480,5.711480,5.711480"
00001011,"3.551503,3.551503,3.551503,3.551503,3.551503,3.551503,3.551503,3.551503,3.551503,3.551503"
00001100,"21.303134,21.303134,21.303134,21.303134,21.303134,21.303134,21.303134,21.303134,21.303134,21.303134"
00001101,"19.143156,19.143156,19.143156,19.143156,19.143156,19.143156,19.143156,19.143156,19.143156,19.143156"
00001110,"21.021162,21.021162,21.021162,21.021162,21.021162,21.021162,21.021162,21.021162,21.021162,21.021162"
00001111,"18.861185,18.861185,18.861185,18.861185,18.861185,18.861185,18.861185,18.861185,18.861185,18.861185"
00010000,"0.612351,0.612351,0.612351,0.612351,0.612351,0.612351,0.612351,0.612351,0.612351,0.612351"
00010001,"-1.547627,-1.547627,-1.547627,-1.547627,-1.547627,-1.547627,-1.547627,-1.547627,-1.547627,-1.547627"
00010010,"0.330379,0.330379,0.330379,0.330379,0.330379,0.330379,0.330379,0.330379,0.330379,0.330379"
00010011,"-1.829598,-1.829598,-1.829598,-1.829598,-1.829598,-1.829598,-1.829598,-1.829598,-1.829598,-1.829598"
