k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6032052614908713,0.9999999999666667,0.1734104046232751,30,0,143,83,0.019604492187500003,0.0,0.019604492187500003
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6032052614908713,0.9999999998888889,0.0642857142852551,9,0,131,116,0.026928710937500003,0.0,0.026928710937500003
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6032052614908713,0.999999999983871,0.4732824427444788,62,0,69,125,0.023046875,0.0,0.023046875
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6032052614908713,0.533333333330101,0.7394957983131134,88,77,31,60,0.03945312499999999,0.0318939393939394,0.007559185606060594
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6032052614908713,0.9999999999375,0.07272727272694215,16,0,204,36,0.0095703125,0.0,0.0095703125
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6032052614908713,0.9999999999772728,0.34920634920357774,44,0,82,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6032052614908713,0.3913043478245403,0.9899999999900999,99,154,1,2,0.039282226562499994,0.039081027667984186,0.0002011988945158083
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.6459044231191176,0.8235294117404846,0.20289855072316743,28,6,110,112,0.0283203125,0.004595588235294118,0.02372472426470588
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.6459044231191176,0.5622489959816778,0.9999999999928573,140,109,0,7,0.026928710937500003,0.024924698795180722,0.002004012142319281
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.6459044231191176,0.9999999999886363,0.6717557251857118,88,0,43,125,0.023046875,0.0,0.023046875
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.6459044231191176,0.9999999995,0.016806722688934395,2,0,117,137,0.03945312499999999,0.0,0.03945312499999999
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.6459044231191176,0.9205020920463578,0.9999999999954546,220,19,0,17,0.0095703125,0.003059623430962344,0.006510689069037657
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.6459044231191176,0.9999999999795919,0.3888888888858025,49,0,77,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.6459044231191176,0.0,0.0,0,0,100,156,0.039282226562499994,,
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.644530452036389,0.0,0.0,0,0,138,118,0.0283203125,,
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.644530452036389,0.9999999999807693,0.3005780346803435,52,0,121,83,0.019604492187500003,0.0,0.019604492187500003
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.644530452036389,0.9999999999375,0.12213740457922033,16,0,115,125,0.023046875,0.0,0.023046875
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.644530452036389,0.0,0.0,0,0,119,137,0.03945312499999999,,
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.644530452036389,0.9999999999891304,0.4181818181799174,92,0,128,36,0.0095703125,0.0,0.0095703125
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.644530452036389,0.9999999989999999,0.007936507936444948,1,0,125,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.644530452036389,0.0,0.0,0,0,100,156,0.039282226562499994,,
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.7812874459643969,0.7894736841689751,0.1086956521731254,15,4,123,114,0.0283203125,0.004605263157894737,0.023715049342105263
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.7812874459643969,0.9579831932692606,0.6589595375684454,114,5,59,78,0.019604492187500003,0.0007878151260504202,0.018816677061449582
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.7812874459643969,0.7894736842045905,0.749999999994643,105,28,35,88,0.026928710937500003,0.009915413533834587,0.017013297403665417
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.7812874459643969,0.9999999989999999,0.008403361344467198,1,0,118,137,0.03945312499999999,0.0,0.03945312499999999
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.7812874459643969,0.9649122806975223,0.9999999999954546,220,8,0,28,0.0095703125,0.0010964912280701754,0.008473821271929825
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.7812874459643969,0.9599999999808001,0.3809523809493575,48,2,78,128,0.0252685546875,0.0008750000000000001,0.0243935546875
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.7812874459643969,0.9999999995,0.0199999999998,2,0,98,156,0.039282226562499994,0.0,0.039282226562499994
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6509599975492015,0.6528497409292598,0.9130434782542534,126,67,12,51,0.0283203125,0.01955958549222798,0.008760727007772019
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6509599975492015,0.6757812499973602,0.9999999999942197,173,83,0,0,0.019604492187500003,0.019604492187500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6509599975492015,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6509599975492015,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6509599975492015,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6509599975492015,0.5624999999974889,0.9999999999920635,126,98,0,32,0.0252685546875,0.01821986607142857,0.007048688616071431
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6509599975492015,0.799999999991111,0.7199999999928,72,18,28,138,0.039282226562499994,0.006874999999999999,0.032407226562499995
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.7895382382218348,0.7011494252792971,0.4420289855040433,61,26,77,92,0.0283203125,0.011925287356321843,0.016395025143678157
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.7895382382218348,0.973913043469792,0.6473988439268937,112,3,61,80,0.019604492187500003,0.0004347826086956522,0.01916970957880435
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.7895382382218348,0.9999999999795919,0.34999999999750003,49,0,91,116,0.026928710937500003,0.0,0.026928710937500003
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.7895382382218348,0.909090909083396,0.8396946564821398,110,11,21,114,0.023046875,0.002272727272727273,0.020774147727272728
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.7895382382218348,0.7387387387320834,0.6890756302463102,82,29,37,108,0.03945312499999999,0.011655405405405408,0.027797719594594584
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.7895382382218348,0.8450704225233088,0.4761904761866969,60,11,66,119,0.0252685546875,0.004665492957746479,0.02060306172975352
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.7895382382218348,0.7064220183421429,0.7699999999923,77,32,23,124,0.039282226562499994,0.011525229357798166,0.02775699720470183
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.8081067280961854,0.7878787878668503,0.3768115942001681,52,14,86,104,0.0283203125,0.005587121212121212,0.02273319128787879
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.8081067280961854,0.9289940828347397,0.9075144508618064,157,12,16,71,0.019604492187500003,0.003143491124260355,0.01646100106323965
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.8081067280961854,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.8081067280961854,0.8416666666596527,0.7709923664063284,101,19,30,106,0.023046875,0.006197916666666667,0.016848958333333334
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.8081067280961854,0.9999999999230769,0.10924369747807358,13,0,106,137,0.03945312499999999,0.0014423076923076926,0.0380108173076923
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.8081067280961854,0.8764940239008905,0.9999999999954546,220,31,0,5,0.0095703125,0.0075199203187250995,0.002050392181274901
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.8081067280961854,0.9999999998333333,0.0599999999994,6,0,94,156,0.039282226562499994,0.0,0.039282226562499994
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.8723876080188817,0.7818181818110743,0.6231884057925856,86,24,52,94,0.0283203125,0.005568181818181818,0.02275213068181818
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.8723876080188817,0.6757812499973602,0.9999999999942197,173,83,0,0,0.019604492187500003,0.019604492187500003,0.0
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.8723876080188817,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.8723876080188817,0.5137254901940639,0.9999999999923664,131,124,0,1,0.023046875,0.02267156862745098,0.00037530637254902174
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.8723876080188817,0.9302325581179016,0.33613445377868795,40,3,79,134,0.03945312499999999,0.002180232558139535,0.03727289244186046
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.8723876080188817,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.8723876080188817,0.6871165644129625,0.8888888888818341,112,51,14,79,0.0252685546875,0.012308282208588955,0.012960272478911045
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.613921331762241,0.7986577181154453,0.8499999999939286,119,30,21,86,0.026928710937500003,0.007969798657718121,0.01895891227978188
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.613921331762241,0.8793103448200059,0.7786259541925297,102,14,29,111,0.023046875,0.004795258620689654,0.018251616379310345
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.613921331762241,0.9565217391096409,0.3697478991565567,44,2,75,135,0.03945312499999999,0.0019021739130434781,0.03755095108695651
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.613921331762241,0.981818181813719,0.981818181813719,216,4,4,32,0.0095703125,0.0007102272727272729,0.008860085227272729
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.613921331762241,0.9468085106282254,0.7063492063436004,89,5,37,125,0.0252685546875,0.001196808510638298,0.0240717461768617
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.613921331762241,0.9322033898147085,0.5499999999945,55,4,45,152,0.039282226562499994,0.002860169491525424,0.03642205707097457
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.6114527434372844,0.9692307692233136,0.7283236994177554,126,4,47,79,0.019604492187500003,0.0016826923076923078,0.017921799879807694
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.6114527434372844,0.934579439243602,0.7633587786201271,100,7,31,118,0.023046875,0.0031542056074766356,0.019892669392523366
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.6114527434372844,0.922077922065947,0.5966386554571711,71,6,48,131,0.03945312499999999,0.002516233766233766,0.03693689123376623
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.6114527434372844,0.9952606635023922,0.9545454545411157,210,1,10,35,0.0095703125,0.00035545023696682463,0.009214862263033176
