model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6046367287635803,0.94594594592038,0.15909090909018594,35,2,185,34,0.0095703125,0.0013513513513513514,0.00821896114864865
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6046367287635803,0.8679245282855109,0.35114503816525844,46,7,85,118,0.023046875,0.003066037735849057,0.019980837264150945
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6046367287635803,0.5609756097424152,0.16666666666545896,23,18,115,100,0.0283203125,0.029420731707317075,-0.001100419207317075
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6046367287635803,0.7777777777604938,0.20231213872715428,35,10,138,73,0.0196044921875,0.010972222222222225,0.008632269965277774
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6046367287635803,0.699999999986,0.27777777777557316,35,15,91,115,0.0252685546875,0.011750000000000003,0.013518554687499997
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6046367287635803,0.8684210526087258,0.23571428571260206,33,5,107,111,0.026928710937499996,0.004111842105263158,0.02281686883223684
MLP,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6046367287635803,0.5272727272631406,0.28999999999709997,29,26,71,130,0.039282226562499994,0.03579545454545455,0.0034867720170454475
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.7369640469551086,0.47499999999802084,0.9579831932692606,114,126,5,11,0.039453125,0.037760416666666664,0.0016927083333333343
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.7369640469551086,0.5140562248975339,0.9770992366337626,128,121,3,4,0.023046875,0.022891566265060243,0.0001553087349397582
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.7369640469551086,0.5338645418305424,0.9710144927465869,134,117,4,1,0.0283203125,0.0288097609561753,-0.0004894484561752989
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.7369640469551086,0.6916666666637847,0.9595375722487889,166,74,7,9,0.0196044921875,0.018463541666666663,0.0011409505208333365
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.7369640469551086,0.48132780082787835,0.920634920627614,116,125,10,5,0.0252685546875,0.02590767634854772,-0.0006391216610477195
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.7369640469551086,0.5569620253141057,0.9428571428504082,132,105,8,11,0.026928710937499996,0.027399789029535868,-0.00047107809203587175
MLP,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.7369640469551086,0.3911290322564874,0.9699999999903,97,151,3,5,0.039282226562499994,0.03971774193548387,-0.0004355153729838773
MLP,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.6092318296432495,0.727272727261708,0.4033613445344255,48,18,71,119,0.039453125,0.01571969696969697,0.02373342803030303
MLP,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.6092318296432495,0.949152542356794,0.25454545454429756,56,3,164,33,0.0095703125,0.0020127118644067796,0.0075576006355932215
MLP,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.6092318296432495,0.43835616437755676,0.2318840579693342,32,41,106,77,0.0283203125,0.036815068493150686,-0.008494755993150686
MLP,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.6092318296432495,0.8481012658120494,0.38728323699198103,67,12,106,71,0.0196044921875,0.008860759493670886,0.010743732693829113
