challenge,deltas
00000000,"5.401762,5.401762,5.401762,5.401762,5.401762,5.401762,5.401762,5.401762,5.401762,5.401762"
00000001,"-2.847067,-2.847067,-2.847067,-2.847067,-2.847067,-2.847067,-2.847067,-2.847067,-2.847067,-2.847067"
00000010,"-1.290681,-1.290681,-1.290681,-1.290681,-1.290681,-1.290681,-1.290681,-1.290681,-1.290681,-1.290681"
00000011,"-9.539510,-9.539510,-9.539510,-9.539510,-9.539510,-9.539510,-9.539510,-9.539510,-9.539510,-9.539510"
00000100,"11.692493,11.692493,11.692493,11.692493,11.692493,11.692493,11.692493,11.692493,11.692493,11.692493"
00000101,"3.443664,3.443664,3.443664,3.443664,3.443664,3.443664,3.443664,3.443664,3.443664,3.443664"
00000110,"5.000049,5.000049,5.000049,5.000049,5.000049,5.000049,5.000049,5.000049,5.000049,5.000049"
00000111,"-3.248779,-3.248779,-3.248779,-3.248779,-3.248779,-3.248779,-3.248779,-3.248779,-3.248779,-3.248779"
00001000,"5.517188,5.517188,5.517188,5.517188,5.517188,5.517188,5.517188,5.517188,5.517188,5.517188"
00001001,"-2.731641,-2.731641,-2.731641,-2.731641,-2.731641,-2.731641,-2.731641,-2.731641,-2.731641,-2.731641"
00001010,"-1.175255,-1.175255,-1.175255,-1.175255,-1.175255,-1.175255,-1.175255,-1.175255,-1.175255,-1.175255"
00001011,"-9.424084,-9.424084,-9.424084,-9.424084,-9.424084,-9.424084,-9.424084,-9.424084,-9.424084,-9.424084"
00001100,"11.807919,11.807919,11.807919,11.807919,11.807919,11.807919,11.807919,11.807919,11.807919,11.807919"
00001101,"3.559090,3.559090,3.559090,3.559090,3.559090,3.559090,3.559090,3.559090,3.559090,3.559090"
00001110,"5.115475,5.115475,5.115475,5.115475,5.115475,5.115475,5.115475,5.115475,5.115475,5.115475"
00001111,"-3.133353,-3.133353,-3.133353,-3.133353,-3.133353,-3.133353,-3.133353,-3.133353,-3.133353,-3.133353"
00010000,"17.601235,17.601235,17.601235,17.601235,17.601235,17.601235,17.601235,17.601235,17.601235,17.601235"
00010001,"9.352407,9.352407,9.352407,9.352407,9.352407,9.352407,9.352407,9.352407,9.352407,9.352407"
00010010,"10.908792,10.908792,10.908792,10.908792,10.908792,10.908792,10.908792,10.908792,10.908792,10.908792"
00010011,"2.659964,2.659964,2.659964,2.659964,2.659964,2.659964,2.659964,2.659964,2.659964,2.659964"
00010100,"23.891966,23.891966,23.891966,23.891966,23.891966,23.891966,23.891966,23.891966,23.891966,23.891966"
00010101,"15.643137,15.643137,15.643137,15.643137,15.643137,15.643137,15.643137,15.643137,15.643137,15.643137"
00010110,"17.199523,17.199523,17.199523,17.199523,17.199523,17.199523,17.199523,17.199523,17.199523,17.199523"
00010111,"8.950694,8.950694,8.950694,8.950694,8.950694,8.950694,8.950694,8.950694,8.950694,8.950694"
00011000,"17.716661,17.716661,17.716661,17.716661,17.716661,17.716661,17.716661,17.716661,17.716661,17.716661"
00011001,"9.467833,9.467833,9.467833,9.467833,9.467833,9.467833,9.467833,9.467833,9.467833,9.467833"
00011010,"11.024218,11.024218,11.024218,11.024218,11.024218,11.024218,11.024218,11.024218,11.024218,11.024218"
00011011,"2.775390,2.775390,2.775390,2.775390,2.775390,2.775390,2.775390,2.775390,2.775390,2.775390"
00011100,"24.007392,24.007392,24.007392,24.007392,24.007392,24.007392,24.007392,24.007392,24.007392,24.007392"
00011101,"15.758563,15.758563,15.758563,15.758563,15.758563,15.758563,15.758563,15.758563,15.758563,15.758563"
00011110,"17.314949,17.314949,17.314949,17.314949,17.314949,17.314949,17.314949,17.314949,17.314949,17.314949"
00011111,"9.066120,9.066120,9.066120,9.066120,9.066120,9.066120,9.066120,9.066120,9.066120,9.066120"
00100000,"-2.111590,-2.111590,-2.111590,-2.111590,-2.111590,-2.111590,-2.111590,-2.111590,-2.111590,-2.111590"
00100001,"-10.360419,-10.360419,-10.360419,-10.360419,-10.360419,-10.360419,-10.360419,-10.360419,-10.360419,-10.360419"
00100010,"-8.804033,-8.804033,-8.804033,-8.804033,-8.804033,-8.804033,-8.804033,-8.804033,-8.804033,-8.804033"
00100011,"-17.052862,-17.052862,-17.052862,-17.052862,-17.052862,-17.052862,-17.052862,-17.052862,-17.052862,-17.052862"
00100100,"4.179141,4.179141,4.179141,4.179141,4.179141,4.179141,4.179141,4.179141,4.179141,4.179141"
00100101,"-4.069688,-4.069688,-4.069688,-4.069688,-4.069688,-4.069688,-4.069688,-4.069688,-4.069688,-4.069688"
00100110,"-2.513303,-2.513303,-2.513303,-2.513303,-2.513303,-2.513303,-2.513303,-2.513303,-2.513303,-2.513303"
00100111,"-10.762131,-10.762131,-10.762131,-10.762131,-10.762131,-10.762131,-10.762131,-10.762131,-10.762131,-10.762131"
00101000,"-1.996164,-1.996164,-1.996164,-1.996164,-1.996164,-1.996164,-1.996164,-1.996164,-1.996164,-1.996164"
00101001,"-10.244993,-10.244993,-10.244993,-10.244993,-10.244993,-10.244993,-10.244993,-10.244993,-10.244993,-10.244993"
00101010,"-8.688607,-8.688607,-8.688607,-8.688607,-8.688607,-8.688607,-8.688607,-8.688607,-8.688607,-8.688607"
00101011,"-16.937436,-16.937436,-16.937436,-16.937436,-16.937436,-16.937436,-16.937436,-16.937436,-16.937436,-16.937436"
00101100,"4.294567,4.294567,4.294567,4.294567,4.294567,4.294567,4.294567,4.294567,4.294567,4.294567"
00101101,"-3.954262,-3.954262,-3.954262,-3.954262,-3.954262,-3.954262,-3.954262,-3.954262,-3.954262,-3.954262"
00101110,"-2.397876,-2.397876,-2.397876,-2.397876,-2.397876,-2.397876,-2.397876,-2.397876,-2.397876,-2.397876"
00101111,"-10.646705,-10.646705,-10.646705,-10.646705,-10.646705,-10.646705,-10.646705,-10.646705,-10.646705,-10.646705"
00110000,"10.087883,10.087883,10.087883,10.087883,10.087883,10.087883,10.087883,10.087883,10.087883,10.087883"
00110001,"1.839055,1.839055,1.839055,1.839055,1.839055,1.839055,1.839055,1.839055,1.839055,1.839055"
00110010,"3.395440,3.395440,3.395440,3.395440,3.395440,3.395440,3.395440,3.395440,3.395440,3.395440"
00110011,"-4.853388,-4.853388,-4.853388,-4.853388,-4.853388,-4.853388,-4.853388,-4.853388,-4.853388,-4.853388"
00110100,"16.378614,16.378614,16.378614,16.378614,16.378614,16.378614,16.378614,16.378614,16.378614,16.378614"
00110101,"8.129785,8.129785,8.129785,8.129785,8.129785,8.129785,8.129785,8.129785,8.129785,8.129785"
00110110,"9.686171,9.686171,9.686171,9.686171,9.686171,9.686171,9.686171,9.686171,9.686171,9.686171"
00110111,"1.437342,1.437342,1.437342,1.437342,1.437342,1.437342,1.437342,1.437342,1.437342,1.437342"
00111000,"10.203310,10.203310,10.203310,10.203310,10.203310,10.203310,10.203310,10.203310,10.203310,10.203310"
00111001,"1.954481,1.954481,1.954481,1.954481,1.954481,1.954481,1.954481,1.954481,1.954481,1.954481"
00111010,"3.510866,3.510866,3.510866,3.510866,3.510866,3.510866,3.510866,3.510866,3.510866,3.510866"
00111011,"-4.737962,-4.737962,-4.737962,-4.737962,-4.737962,-4.737962,-4.737962,-4.737962,-4.737962,-4.737962"
00111100,"16.494040,16.494040,16.494040,16.494040,16.494040,16.494040,16.494040,16.494040,16.494040,16.494040"
00111101,"8.245211,8.245211,8.245211,8.245211,8.245211,8.245211,8.245211,8.245211,8.245211,8.245211"
00111110,"9.801597,9.801597,9.801597,9.801597,9.801597,9.801597,9.801597,9.801597,9.801597,9.801597"
00111111,"1.552768,1.552768,1.552768,1.552768,1.552768,1.552768,1.552768,1.552768,1.552768,1.552768"
