model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.7333333333333333,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.7333333333333333,0.6016260162552713,0.5873015872969262,74,49,52,81,0.0252685546875,0.014989837398373984,0.010278717289126016
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.7333333333333333,0.6858974358930392,0.7642857142802552,107,49,33,67,0.026928710937499996,0.01658653846153846,0.010342172475961534
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7333333333333333,0.7358490565968316,0.5652173913002521,78,28,60,90,0.0283203125,0.011202830188679248,0.01711748231132075
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.7333333333333333,0.9397590361332558,0.7799999999921999,78,5,22,151,0.039282226562499994,0.0021837349397590363,0.03709849162274096
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.7333333333333333,0.7182320441949269,0.9923664122061652,130,51,1,74,0.023046875,0.012085635359116019,0.010961239640883982
RF,1,0.25,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.7333333333333333,0.8138297872297137,0.884393063578703,153,35,20,48,0.0196044921875,0.009840425531914894,0.009764066655585105
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.5,0.8118811881107735,0.6890756302463102,82,19,37,118,0.039453125,0.0051361386138613855,0.034316986386138615
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.5,0.8933333333214222,0.5317460317418116,67,8,59,122,0.0252685546875,0.002666666666666667,0.022601888020833332
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.5,0.9382716049266879,0.5428571428532654,76,5,64,111,0.026928710937499996,0.002006172839506173,0.024922538097993822
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.5,0.7590361445691682,0.4565217391271267,63,20,75,98,0.0283203125,0.007153614457831324,0.021166698042168676
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.5,0.793814432981507,0.7699999999923,77,20,23,136,0.039282226562499994,0.005734536082474227,0.03354769048002577
RF,1,0.25,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.5,0.8461538461473374,0.8396946564821398,110,20,21,105,0.023046875,0.0061057692307692315,0.01694110576923077
