k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.8302571,0.0,0.0,0,0,140,116,0.026928710937499996,,
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.8302571,0.999999999990909,0.4999999999977273,110,0,110,36,0.0095703125,0.0002840909090909091,0.009286221590909092
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.8302571,0.9999999999791668,0.4033613445344255,48,0,71,137,0.039453125,0.0013020833333333333,0.03815104166666666
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.8302571,0.9999999999230769,0.10317460317378432,13,0,113,130,0.0252685546875,0.0,0.0252685546875
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.8302571,0.99999999996,0.19083969465503178,25,0,106,125,0.023046875,0.0005,0.022546875
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.8302571,0.9999999999642857,0.20289855072316743,28,0,110,118,0.0283203125,0.002678571428571429,0.02564174107142857
1,0.75,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.8302571,0.9999999999705883,0.19653179190637843,34,0,139,83,0.0196044921875,0.0,0.0196044921875
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.7542782,0.0,0.0,0,0,100,156,0.039282226562499994,,
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.7542782,0.9999999999926471,0.6181818181790083,136,0,84,36,0.0095703125,4.5955882352941176e-05,0.00952435661764706
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.7542782,0.0,0.0,0,0,119,137,0.039453125,,
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.7542782,0.9999999999375,0.12698412698311917,16,0,110,130,0.0252685546875,0.0,0.0252685546875
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.7542782,0.9999999999772728,0.3358778625928559,44,0,87,125,0.023046875,0.0,0.023046875
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.7542782,0.0,0.0,0,0,138,118,0.0283203125,,
1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.7542782,0.9999999999880952,0.48554913294517027,84,0,89,83,0.0196044921875,0.0,0.0196044921875
1,0.75,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.8276114,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
1,0.75,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.8276114,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
1,0.75,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.8276114,0.46484374999818423,0.9999999999915966,119,137,0,0,0.039453125,0.039453125,0.0
1,0.75,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.8276114,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
1,0.75,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.8276114,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
