model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6896152781754125,0.0,0.0,0,0,140,116,0.026928710937499996,,
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6896152781754125,0.9999999999444444,0.14285714285600906,18,0,108,130,0.0252685546875,0.0,0.0252685546875
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6896152781754125,0.9999999999687501,0.24427480915844066,32,0,99,125,0.023046875,0.0,0.023046875
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6896152781754125,0.9999999999375,0.09248554913241339,16,0,157,83,0.0196044921875,0.0,0.0196044921875
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6896152781754125,0.4429223744272013,0.8151260504133182,97,122,22,15,0.039453125,0.0435216894977169,-0.004068564497716899
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6896152781754125,0.0,0.0,0,0,220,36,0.0095703125,,
LogReg,1,0.75,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6896152781754125,0.3904382470103967,0.9799999999901999,98,153,2,3,0.039282226562499994,0.03929282868525897,-1.0602122758975041e-05
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.80099892431368,0.0,0.0,0,0,138,118,0.0283203125,,
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.80099892431368,0.0,0.0,0,0,126,130,0.0252685546875,,
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.80099892431368,0.99999999975,0.030534351144805082,4,0,127,125,0.023046875,0.0,0.023046875
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.80099892431368,0.999999999952381,0.12138728323629257,21,0,152,83,0.0196044921875,0.0,0.0196044921875
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.80099892431368,0.0,0.0,0,0,119,137,0.039453125,,
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.80099892431368,0.9999999999642857,0.12727272727214878,28,0,192,36,0.0095703125,0.0,0.0095703125
LogReg,1,0.75,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.80099892431368,0.0,0.0,0,0,100,156,0.039282226562499994,,
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.6342534097846421,0.8068181818090134,0.5144927536194602,71,17,67,101,0.0283203125,0.005255681818181818,0.02306463068181818
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.6342534097846421,0.5761316872404275,0.9999999999928573,140,103,0,13,0.026928710937499996,0.023868312757201648,0.003060398180298348
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.6342534097846421,0.7659574468030784,0.8244274809097373,108,33,23,92,0.023046875,0.008953900709219859,0.014092974290780142
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.6342534097846421,0.883333333328426,0.919075144503358,159,21,14,62,0.0196044921875,0.006319444444444445,0.013285047743055554
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.6342534097846421,0.9629629629272977,0.21848739495614716,26,1,93,136,0.039453125,0.0016203703703703703,0.03783275462962963
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.6342534097846421,0.87999999999648,0.9999999999954546,220,30,0,6,0.0095703125,0.006925000000000001,0.0026453125
LogReg,1,0.75,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.6342534097846421,0.9791666666462674,0.46999999999529996,47,1,53,155,0.039282226562499994,0.001171875,0.03811035156249999
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.7040852516598236,0.8064516128772112,0.18115942028854234,25,6,113,112,0.0283203125,0.005443548387096775,0.022876764112903226
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.7040852516598236,0.794871794865001,0.6642857142809694,93,24,47,92,0.026928710937499996,0.009722222222222222,0.017206488715277773
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.7040852516598236,0.9180327868701962,0.4444444444409171,56,5,70,125,0.0252685546875,0.0017418032786885246,0.023526751408811476
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.7040852516598236,0.9655172413709869,0.6473988439268937,112,4,61,79,0.0196044921875,0.0007004310344827586,0.01890406115301724
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.7040852516598236,0.9999999999166667,0.10084033613360638,12,0,107,137,0.039453125,0.0005208333333333333,0.03893229166666667
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.7040852516598236,0.9812206572723887,0.9499999999956819,209,4,11,32,0.0095703125,0.000704225352112676,0.008866087147887326
LogReg,1,0.75,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.7040852516598236,0.9999999999642857,0.2799999999972,28,0,72,156,0.039282226562499994,0.0,0.039282226562499994
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.7155854051211853,0.8499999999575,0.1231884057962088,17,3,121,115,0.0283203125,0.0037500000000000007,0.0245703125
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.7155854051211853,0.5761316872404275,0.9999999999928573,140,103,0,13,0.026928710937499996,0.02345679012345679,0.0034719208140432042
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.7155854051211853,0.9999999999772728,0.34920634920357774,44,0,82,130,0.0252685546875,0.0,0.0252685546875
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.7155854051211853,0.9999999999876543,0.6183206106823029,81,0,50,125,0.023046875,0.0,0.023046875
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.7155854051211853,0.0,0.0,0,0,119,137,0.039453125,,
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.7155854051211853,0.9361702127619738,0.9999999999954546,220,15,0,21,0.0095703125,0.002154255319148936,0.007416057180851065
LogReg,1,0.75,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.7155854051211853,0.0,0.0,0,0,100,156,0.039282226562499994,,
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6332649791268569,0.624999999996875,0.9057971014427116,125,75,13,43,0.0283203125,0.0224375,0.005882812500000001
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6332649791268569,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6332649791268569,0.5753424657507975,0.9999999999920635,126,93,0,37,0.0252685546875,0.017636986301369863,0.007631568386130137
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6332649791268569,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6332649791268569,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6332649791268569,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
LogReg,1,0.75,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6332649791268569,0.7765957446725894,0.7299999999926999,73,21,27,135,0.039282226562499994,0.007446808510638298,0.0318354180518617
